# sweepparam	measured1
# "sweepparam"	"measured1"
# 928
-0.950431	-34524
-0.943966	-37165
-0.9375	-25068
-0.931034	-29089
-0.924569	-34509
-0.918103	-37893
-0.911638	-30359
-0.905172	-19840
-0.898707	-26255
-0.892241	-30171
-0.885776	-28853
-0.87931	-25328
-0.872845	-26071
-0.866379	-25054
-0.859914	-21692
-0.853448	-27006
-0.846983	-41767
-0.840517	-44660
-0.834052	-33198
-0.827586	-32336
-0.821121	-26555
-0.814655	-28951
-0.80819	-29147
-0.801724	-32237
-0.795259	-32188
-0.788793	-45214
-0.782328	-39620
-0.775862	-30909
-0.769397	-28332
-0.762931	-29135
-0.756466	-30424
-0.75	-22087
-0.743534	-21578
-0.737069	-31586
-0.730603	-39658
-0.724138	-37912
-0.717672	-33961
-0.711207	-33491
-0.704741	-31335
-0.698276	-34312
-0.69181	-45622
-0.685345	-52507
-0.678879	-38139
-0.672414	-40911
-0.665948	-51301
-0.659483	-48310
-0.653017	-47301
-0.646552	-51450
-0.640086	-44678
-0.633621	-52831
-0.627155	-48774
-0.62069	-50863
-0.614224	-59968
-0.607759	-53040
-0.601293	-56407
-0.594828	-55335
-0.588362	-60486
-0.581897	-71569
-0.575431	-66710
-0.568966	-67425
-0.5625	-79771
-0.556034	-73443
-0.549569	-72916
-0.543103	-72103
-0.536638	-79114
-0.530172	-80883
-0.523707	-84315
-0.517241	-96141
-0.510776	-88697
-0.50431	-83789
-0.497845	-88791
-0.491379	-97999
-0.484914	-97214
-0.478448	-101530
-0.471983	-108616
-0.465517	-115765
-0.459052	-104033
-0.452586	-106349
-0.446121	-109413
-0.439655	-120120
-0.43319	-115246
-0.426724	-120578
-0.420259	-135806
-0.413793	-140573
-0.407328	-132105
-0.400862	-136022
-0.394397	-153001
-0.387931	-150354
-0.381466	-154106
-0.375	-164269
-0.368534	-175173
-0.362069	-181134
-0.355603	-176050
-0.349138	-177205
-0.342672	-187013
-0.336207	-193705
-0.329741	-197792
-0.323276	-208996
-0.31681	-219877
-0.310345	-220514
-0.303879	-215565
-0.297414	-228906
-0.290948	-234186
-0.284483	-242179
-0.278017	-255761
-0.271552	-260032
-0.265086	-265274
-0.258621	-262476
-0.252155	-278308
-0.24569	-274582
-0.239224	-277080
-0.232759	-300207
-0.226293	-303316
-0.219828	-310383
-0.213362	-325501
-0.206897	-332706
-0.200431	-342090
-0.193966	-346150
-0.1875	-354436
-0.181034	-366298
-0.174569	-380272
-0.168103	-392967
-0.161638	-398442
-0.155172	-408124
-0.148707	-422492
-0.142241	-424114
-0.135776	-431133
-0.12931	-447413
-0.122845	-466363
-0.116379	-475471
-0.109914	-475723
-0.103448	-480549
-0.0969828	-500262
-0.0905172	-504613
-0.0840517	-512372
-0.0775862	-529892
-0.0711207	-540696
-0.0646552	-552372
-0.0581897	-566587
-0.0517241	-571530
-0.0452586	-588768
-0.0387931	-595415
-0.0323276	-606269
-0.0258621	-617746
-0.0193966	-634877
-0.012931	-648082
-0.00646552	-647774
0	-661061
0.00646552	-667578
0.012931	-679056
0.0193966	-697468
0.0258621	-704139
0.0323276	-711677
0.0387931	-724983
0.0452586	-736226
0.0517241	-764065
0.0581897	-780842
0.0646552	-796317
0.0711207	-798313
0.0775862	-805139
0.0840517	-817286
0.0905172	-824124
0.0969828	-831635
0.103448	-858253
0.109914	-863856
0.116379	-870786
0.122845	-878202
0.12931	-882797
0.135776	-897939
0.142241	-922384
0.148707	-935167
0.155172	-935469
0.161638	-940719
0.168103	-948514
0.174569	-966461
0.181034	-982227
0.1875	-986150
0.193966	-1.0027e+06
0.200431	-1.00947e+06
0.206897	-1.02406e+06
0.213362	-1.03694e+06
0.219828	-1.04146e+06
0.226293	-1.05247e+06
0.232759	-1.06762e+06
0.239224	-1.07142e+06
0.24569	-1.06972e+06
0.252155	-1.08232e+06
0.258621	-1.08621e+06
0.265086	-1.09705e+06
0.271552	-1.11084e+06
0.278017	-1.12352e+06
0.284483	-1.12674e+06
0.290948	-1.13802e+06
0.297414	-1.14246e+06
0.303879	-1.1516e+06
0.310345	-1.16018e+06
0.31681	-1.16433e+06
0.323276	-1.1747e+06
0.329741	-1.17847e+06
0.336207	-1.17934e+06
0.342672	-1.18219e+06
0.349138	-1.19228e+06
0.355603	-1.19963e+06
0.362069	-1.20992e+06
0.368534	-1.2204e+06
0.375	-1.22505e+06
0.381466	-1.22489e+06
0.387931	-1.22675e+06
0.394397	-1.23932e+06
0.400862	-1.2448e+06
0.407328	-1.24293e+06
0.413793	-1.2557e+06
0.420259	-1.26412e+06
0.426724	-1.26838e+06
0.43319	-1.26458e+06
0.439655	-1.27188e+06
0.446121	-1.2737e+06
0.452586	-1.27534e+06
0.459052	-1.28743e+06
0.465517	-1.29648e+06
0.471983	-1.30146e+06
0.478448	-1.31587e+06
0.484914	-1.31785e+06
0.491379	-1.31098e+06
0.497845	-1.30946e+06
0.50431	-1.31347e+06
0.510776	-1.31316e+06
0.517241	-1.32265e+06
0.523707	-1.32907e+06
0.530172	-1.32360e+06
0.536638	-1.32612e+06
0.543103	-1.33052e+06
0.549569	-1.33554e+06
0.556034	-1.34754e+06
0.5625	-1.35347e+06
0.568966	-1.3466e+06
0.575431	-1.35067e+06
0.581897	-1.35135e+06
0.588362	-1.35339e+06
0.594828	-1.34938e+06
0.601293	-1.35381e+06
0.607759	-1.36013e+06
0.614224	-1.36514e+06
0.62069	-1.36469e+06
0.627155	-1.36212e+06
0.633621	-1.36722e+06
0.640086	-1.37888e+06
0.646552	-1.38144e+06
0.653017	-1.3817e+06
0.659483	-1.37736e+06
0.665948	-1.37707e+06
0.672414	-1.38675e+06
0.678879	-1.38827e+06
0.685345	-1.39234e+06
0.69181	-1.38726e+06
0.698276	-1.38907e+06
0.704741	-1.40200e+06
0.711207	-1.39996e+06
0.717672	-1.39705e+06
0.724138	-1.39749e+06
0.730603	-1.40714e+06
0.737069	-1.41649e+06
0.743534	-1.41008e+06
0.75	-1.40431e+06
0.756466	-1.41358e+06
0.762931	-1.41052e+06
0.769397	-1.41378e+06
0.775862	-1.40922e+06
0.782328	-1.41345e+06
0.788793	-1.42340e+06
0.795259	-1.42122e+06
0.801724	-1.41882e+06
0.80819	-1.41073e+06
0.814655	-1.39817e+06
0.821121	-1.40685e+06
0.827586	-1.42348e+06
0.834052	-1.41956e+06
0.840517	-1.42221e+06
0.846983	-1.42524e+06
0.853448	-1.42117e+06
0.859914	-1.41992e+06
0.866379	-1.41923e+06
0.872845	-1.42124e+06
0.87931	-1.42079e+06
0.885776	-1.41933e+06
0.892241	-1.41896e+06
0.898707	-1.42583e+06
0.905172	-1.42544e+06
0.911638	-1.41973e+06
0.918103	-1.41953e+06
0.924569	-1.42124e+06
0.931034	-1.4236e+06
0.9375	-1.42839e+06
0.943966	-1.42906e+06
0.950431	-1.43537e+06
0.956897	-1.43835e+06
0.963362	-1.43238e+06
0.969828	-1.43706e+06
0.976293	-1.42865e+06
0.982759	-1.4297e+06
0.989224	-1.42838e+06
0.99569	-1.43399e+06
1.00216	-1.43145e+06
1.00862	-1.43021e+06
1.01509	-1.4218e+06
1.02155	-1.42789e+06
1.02802	-1.43318e+06
1.03448	-1.43884e+06
1.04095	-1.44055e+06
1.04741	-1.43917e+06
1.05388	-1.42418e+06
1.06034	-1.42789e+06
1.06681	-1.43301e+06
1.07328	-1.44258e+06
1.07974	-1.43664e+06
1.08621	-1.43429e+06
1.09267	-1.42938e+06
1.09914	-1.43232e+06
1.1056	-1.44311e+06
1.11207	-1.43579e+06
1.11853	-1.43399e+06
1.125	-1.42407e+06
1.13147	-1.42363e+06
1.13793	-1.43051e+06
1.1444	-1.41861e+06
1.15086	-1.4252e+06
1.15733	-1.42624e+06
1.16379	-1.42822e+06
1.17026	-1.42636e+06
1.17672	-1.4249e+06
1.18319	-1.42622e+06
1.18966	-1.43366e+06
1.19612	-1.42332e+06
1.20259	-1.42145e+06
1.20905	-1.42701e+06
1.21552	-1.41967e+06
1.22198	-1.42374e+06
1.22845	-1.42073e+06
1.23491	-1.43022e+06
1.24138	-1.42074e+06
1.24784	-1.4239e+06
1.25431	-1.42481e+06
1.26078	-1.43084e+06
1.26724	-1.41979e+06
1.27371	-1.41339e+06
1.28017	-1.4163e+06
1.28664	-1.41956e+06
1.2931	-1.41496e+06
1.29957	-1.41888e+06
1.30603	-1.42958e+06
1.3125	-1.42948e+06
1.31897	-1.42328e+06
1.32543	-1.41415e+06
1.3319	-1.41554e+06
1.33836	-1.42248e+06
1.34483	-1.42206e+06
1.35129	-1.41212e+06
1.35776	-1.4169e+06
1.36422	-1.42125e+06
1.37069	-1.41834e+06
1.37716	-1.41579e+06
1.38362	-1.41583e+06
1.39009	-1.41543e+06
1.39655	-1.41082e+06
1.40302	-1.40844e+06
1.40948	-1.40249e+06
1.41595	-1.40497e+06
1.42241	-1.40624e+06
1.42888	-1.41072e+06
1.43534	-1.40903e+06
1.44181	-1.41439e+06
1.44828	-1.41831e+06
1.45474	-1.41205e+06
1.46121	-1.40793e+06
1.46767	-1.40652e+06
1.47414	-1.41114e+06
