# mwsource_frequency	sweepparam	measured
# "mwsource_frequency"	"sweepparam"	"measured"
# 100	928
4e+10	-1.64224	-92434
4e+10	-1.63578	-87336
4e+10	-1.62931	-87744
4e+10	-1.62284	-89008
4e+10	-1.61638	-88061
4e+10	-1.60991	-90908
4e+10	-1.60345	-91240
4e+10	-1.59698	-83122
4e+10	-1.59052	-82658
4e+10	-1.58405	-89624
4e+10	-1.57759	-94400
4e+10	-1.57112	-87363
4e+10	-1.56466	-81688
4e+10	-1.55819	-87318
4e+10	-1.55172	-83088
4e+10	-1.54526	-84277
4e+10	-1.53879	-81233
4e+10	-1.53233	-87223
4e+10	-1.52586	-85877
4e+10	-1.5194	-81293
4e+10	-1.51293	-80070
4e+10	-1.50647	-74335
4e+10	-1.5	-69587
4e+10	-1.49353	-72086
4e+10	-1.48707	-72827
4e+10	-1.4806	-75392
4e+10	-1.47414	-70453
4e+10	-1.46767	-63161
4e+10	-1.46121	-65474
4e+10	-1.45474	-65509
4e+10	-1.44828	-62721
4e+10	-1.44181	-58633
4e+10	-1.43534	-57437
4e+10	-1.42888	-62725
4e+10	-1.42241	-63960
4e+10	-1.41595	-58055
4e+10	-1.40948	-56804
4e+10	-1.40302	-58496
4e+10	-1.39655	-53818
4e+10	-1.39009	-55205
4e+10	-1.38362	-48014
4e+10	-1.37716	-61131
4e+10	-1.37069	-59232
4e+10	-1.36422	-55752
4e+10	-1.35776	-60651
4e+10	-1.35129	-53111
4e+10	-1.34483	-50904
4e+10	-1.33836	-52453
4e+10	-1.3319	-49152
4e+10	-1.32543	-55904
4e+10	-1.31897	-60188
4e+10	-1.3125	-56236
4e+10	-1.30603	-47249
4e+10	-1.29957	-48048
4e+10	-1.2931	-53525
4e+10	-1.28664	-52088
4e+10	-1.28017	-52793
4e+10	-1.27371	-47759
4e+10	-1.26724	-56670
4e+10	-1.26078	-43204
4e+10	-1.25431	-32352
4e+10	-1.24784	-33744
4e+10	-1.24138	-47152
4e+10	-1.23491	-48442
4e+10	-1.22845	-37240
4e+10	-1.22198	-35397
4e+10	-1.21552	-36901
4e+10	-1.20905	-33621
4e+10	-1.20259	-27010
4e+10	-1.19612	-44258
4e+10	-1.18966	-37308
4e+10	-1.18319	-34974
4e+10	-1.17672	-31377
4e+10	-1.17026	-30793
4e+10	-1.16379	-29159
4e+10	-1.15733	-32759
4e+10	-1.15086	-31082
4e+10	-1.1444	-27743
4e+10	-1.13793	-22329
4e+10	-1.13147	-27536
4e+10	-1.125	-32722
4e+10	-1.11853	-29738
4e+10	-1.11207	-23476
4e+10	-1.1056	-17230
4e+10	-1.09914	-26508
4e+10	-1.09267	-24555
4e+10	-1.08621	-27516
4e+10	-1.07974	-24588
4e+10	-1.07328	-27856
4e+10	-1.06681	-30436
4e+10	-1.06034	-26346
4e+10	-1.05388	-29681
4e+10	-1.04741	-23442
4e+10	-1.04095	-25380
4e+10	-1.03448	-21418
4e+10	-1.02802	-11046
4e+10	-1.02155	-5006
4e+10	-1.01509	-12863
4e+10	-1.00862	-13855
4e+10	-1.00216	-24114
4e+10	-0.99569	-17835
4e+10	-0.989224	-15066
4e+10	-0.982759	-9829
4e+10	-0.976293	-8217
4e+10	-0.969828	-7246
4e+10	-0.963362	-6665
4e+10	-0.956897	-8841
4e+10	-0.950431	-6105
4e+10	-0.943966	-12234
4e+10	-0.9375	-15557
4e+10	-0.931034	-14183
4e+10	-0.924569	-8526
4e+10	-0.918103	-10798
4e+10	-0.911638	-19507
4e+10	-0.905172	-15039
4e+10	-0.898707	-20797
4e+10	-0.892241	-22333
4e+10	-0.885776	-13152
4e+10	-0.87931	520
4e+10	-0.872845	-4615
4e+10	-0.866379	938
4e+10	-0.859914	-1401
4e+10	-0.853448	-9713
4e+10	-0.846983	-6725
4e+10	-0.840517	-5992
4e+10	-0.834052	-10954
4e+10	-0.827586	-11855
4e+10	-0.821121	-8856
4e+10	-0.814655	-11377
4e+10	-0.80819	-5988
4e+10	-0.801724	-12409
4e+10	-0.795259	-15168
4e+10	-0.788793	-2750
4e+10	-0.782328	1828
4e+10	-0.775862	-7950
4e+10	-0.769397	-16071
4e+10	-0.762931	-18510
4e+10	-0.756466	-9574
4e+10	-0.75	-3832
4e+10	-0.743534	-6635
4e+10	-0.737069	-1112
4e+10	-0.730603	-15579
4e+10	-0.724138	-15613
4e+10	-0.717672	-16778
4e+10	-0.711207	-16043
4e+10	-0.704741	-17244
4e+10	-0.698276	-16901
4e+10	-0.69181	-19674
4e+10	-0.685345	-16379
4e+10	-0.678879	-21497
4e+10	-0.672414	-17604
4e+10	-0.665948	-9635
4e+10	-0.659483	-6603
4e+10	-0.653017	-10436
4e+10	-0.646552	-17515
4e+10	-0.640086	-17749
4e+10	-0.633621	-17808
4e+10	-0.627155	-21671
4e+10	-0.62069	-16751
4e+10	-0.614224	-19692
4e+10	-0.607759	-26067
4e+10	-0.601293	-21610
4e+10	-0.594828	-19620
4e+10	-0.588362	-16460
4e+10	-0.581897	-20838
4e+10	-0.575431	-25756
4e+10	-0.568966	-26211
4e+10	-0.5625	-30644
4e+10	-0.556034	-36912
4e+10	-0.549569	-35382
4e+10	-0.543103	-36523
4e+10	-0.536638	-40984
4e+10	-0.530172	-40399
4e+10	-0.523707	-41944
4e+10	-0.517241	-24018
4e+10	-0.510776	-25934
4e+10	-0.50431	-43962
4e+10	-0.497845	-44432
4e+10	-0.491379	-49535
4e+10	-0.484914	-45929
4e+10	-0.478448	-46555
4e+10	-0.471983	-43565
4e+10	-0.465517	-50715
4e+10	-0.459052	-49200
4e+10	-0.452586	-63422
4e+10	-0.446121	-62462
4e+10	-0.439655	-61377
4e+10	-0.43319	-69009
4e+10	-0.426724	-67639
4e+10	-0.420259	-63324
4e+10	-0.413793	-73828
4e+10	-0.407328	-72045
4e+10	-0.400862	-73494
4e+10	-0.394397	-80414
4e+10	-0.387931	-82310
4e+10	-0.381466	-86611
4e+10	-0.375	-82017
4e+10	-0.368534	-90751
4e+10	-0.362069	-90911
4e+10	-0.355603	-92230
4e+10	-0.349138	-94305
4e+10	-0.342672	-96187
4e+10	-0.336207	-97452
4e+10	-0.329741	-89586
4e+10	-0.323276	-95542
4e+10	-0.31681	-106443
4e+10	-0.310345	-121198
4e+10	-0.303879	-115942
4e+10	-0.297414	-110600
4e+10	-0.290948	-120911
4e+10	-0.284483	-134846
4e+10	-0.278017	-131794
4e+10	-0.271552	-132466
4e+10	-0.265086	-144960
4e+10	-0.258621	-147649
4e+10	-0.252155	-147872
4e+10	-0.24569	-146735
4e+10	-0.239224	-157441
4e+10	-0.232759	-170529
4e+10	-0.226293	-171189
4e+10	-0.219828	-180743
4e+10	-0.213362	-184307
4e+10	-0.206897	-181154
4e+10	-0.200431	-188271
4e+10	-0.193966	-198923
4e+10	-0.1875	-212923
4e+10	-0.181034	-213504
4e+10	-0.174569	-222019
4e+10	-0.168103	-228656
4e+10	-0.161638	-233423
4e+10	-0.155172	-245581
4e+10	-0.148707	-250598
4e+10	-0.142241	-264076
4e+10	-0.135776	-264565
4e+10	-0.12931	-284155
4e+10	-0.122845	-283512
4e+10	-0.116379	-280386
4e+10	-0.109914	-290605
4e+10	-0.103448	-298542
4e+10	-0.0969828	-305711
4e+10	-0.0905172	-321112
4e+10	-0.0840517	-331431
4e+10	-0.0775862	-342828
4e+10	-0.0711207	-348453
4e+10	-0.0646552	-353682
4e+10	-0.0581897	-368700
4e+10	-0.0517241	-373698
4e+10	-0.0452586	-383485
4e+10	-0.0387931	-390040
4e+10	-0.0323276	-400652
4e+10	-0.0258621	-416520
4e+10	-0.0193966	-426040
4e+10	-0.012931	-423941
4e+10	-0.00646552	-432756
