# sweepparam	measured1
# "sweepparam"	"measured1"
# 928
-1.19612	650648
-1.18534	651506
-1.17457	653116
-1.16379	651448
-1.15302	651570
-1.14224	646020
-1.13147	640548
-1.12069	648064
-1.10991	645903
-1.09914	640631
-1.08836	638332
-1.07759	639604
-1.06681	634921
-1.05603	636276
-1.04526	635290
-1.03448	631930
-1.02371	635463
-1.01293	632523
-1.00216	636196
-0.991379	630154
-0.980603	630673
-0.969828	623265
-0.959052	623114
-0.948276	615089
-0.9375	611941
-0.926724	619828
-0.915948	615128
-0.905172	613082
-0.894397	612006
-0.883621	599373
-0.872845	603909
-0.862069	612497
-0.851293	610293
-0.840517	610321
-0.829741	602272
-0.818966	600895
-0.80819	605145
-0.797414	600907
-0.786638	591761
-0.775862	593921
-0.765086	592989
-0.75431	590526
-0.743534	575724
-0.732759	577939
-0.721983	580111
-0.711207	569325
-0.700431	571505
-0.689655	574614
-0.678879	569101
-0.668103	575170
-0.657328	575601
-0.646552	567999
-0.635776	558495
-0.625	555054
-0.614224	553020
-0.603448	550777
-0.592672	541806
-0.581897	548853
-0.571121	560881
-0.560345	565570
-0.549569	555716
-0.538793	545802
-0.528017	551206
-0.517241	556171
-0.506466	542566
-0.49569	537777
-0.484914	534087
-0.474138	533896
-0.463362	533641
-0.452586	530189
-0.44181	524486
-0.431034	526387
-0.420259	529638
-0.409483	523209
-0.398707	519412
-0.387931	525152
-0.377155	517495
-0.366379	507983
-0.355603	509558
-0.344828	506552
-0.334052	511828
-0.323276	508612
-0.3125	504941
-0.301724	504540
-0.290948	505309
-0.280172	505121
-0.269397	488885
-0.258621	486903
-0.247845	491643
-0.237069	481483
-0.226293	478949
-0.215517	483817
-0.204741	483353
-0.193966	482279
-0.18319	476944
-0.172414	471121
-0.161638	469945
-0.150862	466599
-0.140086	469455
-0.12931	467465
-0.118534	456542
-0.107759	460418
-0.0969828	453006
-0.0862069	460131
-0.075431	459921
-0.0646552	456127
-0.0538793	445737
-0.0431034	444156
-0.0323276	448572
-0.0215517	440346
-0.0107759	433566
0	435353
0.0107759	434278
0.0215517	430905
0.0323276	419884
0.0431034	421272
0.0538793	416236
0.0646552	417940
0.075431	412482
0.0862069	411254
0.0969828	409152
0.107759	400922
0.118534	398537
0.12931	410908
0.140086	410637
0.150862	401237
0.161638	398011
0.172414	395645
0.18319	399283
0.193966	389829
0.204741	386208
0.215517	374187
0.226293	373381
0.237069	377576
0.247845	375537
0.258621	374956
0.269397	377649
0.280172	373015
0.290948	364037
0.301724	364767
0.3125	360765
0.323276	360499
0.334052	359794
0.344828	355551
0.355603	353242
0.366379	344312
0.377155	354687
0.387931	344287
0.398707	342318
0.409483	346839
0.420259	342638
0.431034	334366
0.44181	332092
0.452586	328909
0.463362	321982
0.474138	321849
0.484914	316369
0.49569	315955
0.506466	324027
0.517241	315902
0.528017	308800
0.538793	312585
0.549569	311527
0.560345	305085
0.571121	296662
0.581897	296722
0.592672	292628
0.603448	298589
0.614224	291500
0.625	286540
0.635776	282801
0.646552	288091
0.657328	288349
0.668103	292381
0.678879	278082
0.689655	276183
0.700431	278970
0.711207	270319
0.721983	264408
0.732759	264283
0.743534	259941
0.75431	261107
0.765086	264901
0.775862	265665
0.786638	269470
0.797414	264420
0.80819	253775
0.818966	251553
0.829741	250651
0.840517	253811
0.851293	250291
0.862069	243001
0.872845	240917
0.883621	239135
0.894397	231046
0.905172	232232
0.915948	231033
0.926724	226783
0.9375	231086
0.948276	228381
0.959052	214159
0.969828	215676
0.980603	215865
0.991379	219747
1.00216	216813
1.01293	213183
1.02371	211009
1.03448	208806
1.04526	209948
1.05603	198701
1.06681	201905
1.07759	208426
1.08836	201230
1.09914	189942
1.10991	194904
1.12069	194271
1.13147	189736
1.14224	195710
1.15302	183800
1.16379	173755
1.17457	183345
1.18534	186177
1.19612	183047
1.2069	181051
1.21767	186943
1.22845	181514
1.23922	178796
1.25	181056
1.26078	183142
1.27155	169764
1.28233	165498
1.2931	157605
1.30388	165759
1.31466	168892
1.32543	163259
1.33621	167627
1.34698	163881
1.35776	159654
1.36853	160229
1.37931	159332
1.39009	149495
1.40086	146043
1.41164	144495
1.42241	143294
1.43319	142221
1.44397	148201
1.45474	147283
1.46552	141165
1.47629	140877
1.48707	137704
1.49784	134634
1.50862	132810
1.5194	126728
1.53017	125462
1.54095	122752
1.55172	125293
1.5625	122531
1.57328	118717
1.58405	119903
1.59483	119139
1.6056	115608
1.61638	120704
1.62716	116568
1.63793	107993
1.64871	111866
1.65948	109021
1.67026	108152
1.68103	115142
1.69181	109658
1.70259	110960
1.71336	116002
1.72414	99366
1.73491	101390
1.74569	102715
1.75647	101910
1.76724	92009
1.77802	87280
1.78879	93205
1.79957	97602
1.81034	96590
1.82112	92314
1.8319	84313
1.84267	86330
1.85345	88660
1.86422	88428
1.875	77067
1.88578	83498
1.89655	80618
1.90733	84988
1.9181	87687
1.92888	81803
1.93966	75667
1.95043	78772
1.96121	77748
1.97198	75484
1.98276	73227
1.99353	70967
2.00431	70842
2.01509	71900
2.02586	74094
2.03664	66014
2.04741	70907
2.05819	71145
2.06897	64855
2.07974	58961
2.09052	63275
2.10129	67972
2.11207	61536
2.12284	55534
2.13362	60754
2.1444	60507
2.15517	58873
2.16595	60162
2.17672	55068
2.1875	51268
2.19828	59724
2.20905	62560
2.21983	53070
2.2306	55320
2.24138	51637
2.25216	52273
2.26293	53513
2.27371	56284
2.28448	52116
2.29526	46872
2.30603	51618
2.31681	50655
2.32759	53410
2.33836	46782
2.34914	48784
2.35991	43299
2.37069	46303
2.38147	38936
2.39224	36186
2.40302	36458
2.41379	36329
2.42457	32782
2.43534	27805
2.44612	22367
2.4569	30020
2.46767	43232
2.47845	35066
2.48922	26967
2.5	39278
2.51078	37505
2.52155	25687
2.53233	25909
2.5431	37568
2.55388	30240
2.56466	29797
2.57543	41008
2.58621	35542
2.59698	30173
2.60776	28959
2.61853	28184
2.62931	29674
2.64009	18357
2.65086	14784
2.66164	20294
2.67241	25100
2.68319	19993
2.69397	12346
2.70474	21549
2.71552	15578
2.72629	21235
2.73707	12797
2.74784	11563
2.75862	19153
2.7694	18053
2.78017	17293
2.79095	21850
2.80172	18732
2.8125	19967
2.82328	20982
2.83405	18858
2.84483	16052
2.8556	10050
2.86638	12501
2.87716	12759
2.88793	9998
2.89871	17174
2.90948	13359
2.92026	21793
2.93103	8396
2.94181	10063
2.95259	18076
2.96336	17056
2.97414	3544
2.98491	4699
2.99569	11311
3.00647	4593
3.01724	3171
3.02802	7285
3.03879	7256
3.04957	-3826
3.06034	4573
3.07112	5831
3.0819	2221
3.09267	7547
3.10345	6415
3.11422	12715
3.125	7765
3.13578	3684
3.14655	1208
3.15733	5121
3.1681	12364
3.17888	1311
3.18966	-553
3.20043	10057
3.21121	4763
3.22198	-1206
3.23276	5343
3.24353	4703
3.25431	437
3.26509	1895
3.27586	534
3.28664	-4621
3.29741	-12127
3.30819	-4326
3.31897	486
3.32974	-4561
3.34052	-3890
3.35129	212
3.36207	-3557
3.37284	-1094
3.38362	-130
3.3944	-2731
3.40517	-4089
3.41595	-5553
3.42672	-6216
3.4375	-3435
3.44828	3357
3.45905	4112
3.46983	-7903
3.4806	-8461
3.49138	-5000
3.50216	-1388
3.51293	-866
3.52371	-5503
3.53448	266
3.54526	-1836
3.55603	1379
