# SD2b	measured
# "SD2b (mV)"	"measured"
# 462
-45.8707	1797.28
-45.7019	1821.76
-45.5331	1844.3
-45.3642	1852.26
-45.1954	1869.7
-45.0266	1881.06
-44.8578	1906.88
-44.6889	1915.56
-44.5201	1937.02
-44.3513	1962.3
-44.1824	1985.9
-44.0136	2003.7
-43.8448	2022.72
-43.6759	2037.38
-43.5071	2054.34
-43.3383	2085.12
-43.1694	2101.68
-43.0006	2119.8
-42.8318	2143.08
-42.6629	2156.06
-42.4941	2179.22
-42.3253	2193.68
-42.1565	2207.08
-41.9876	2219.28
-41.8188	2232.84
-41.65	2264.98
-41.4811	2278.96
-41.3123	2296.2
-41.1435	2328.76
-40.9746	2343.64
-40.8058	2352.48
-40.637	2358.32
-40.4681	2370.84
-40.2993	2396.96
-40.1305	2410.78
-39.9616	2428.18
-39.7928	2441.86
-39.624	2448.36
-39.4552	2449.06
-39.2863	2457.1
-39.1175	2471.1
-38.9487	2487
-38.7798	2493.1
-38.611	2503.2
-38.4422	2509.3
-38.2733	2526.06
-38.1045	2524.3
-37.9357	2532.82
-37.7668	2546.28
-37.598	2546.84
-37.4292	2536.6
-37.2604	2544.24
-37.0915	2550.74
-36.9227	2553.92
-36.7539	2558.12
-36.585	2559.82
-36.4162	2567.04
-36.2474	2583.48
-36.0785	2574.14
-35.9097	2567.34
-35.7409	2574.88
-35.572	2561
-35.4032	2564
-35.2344	2568
-35.0655	2554.58
-34.8967	2549.52
-34.7279	2552.26
-34.5591	2544.56
-34.3902	2538.18
-34.2214	2538.46
-34.0526	2532.8
-33.8837	2532.68
-33.7149	2518.54
-33.5461	2510.02
-33.3772	2502.24
-33.2084	2506.9
-33.0396	2502.56
-32.8707	2487.06
-32.7019	2483
-32.5331	2477.18
-32.3642	2472.22
-32.1954	2455.4
-32.0266	2450.8
-31.8578	2449.02
-31.6889	2440.42
-31.5201	2425.6
-31.3513	2414.6
-31.1824	2404.54
-31.0136	2387.18
-30.8448	2391.56
-30.6759	2385.88
-30.5071	2370.4
-30.3383	2361.54
-30.1694	2351.5
-30.0006	2343.52
-29.8318	2345.32
-29.6629	2329.72
-29.4941	2312.52
-29.3253	2315.7
-29.1565	2313.68
-28.9876	2292.9
-28.8188	2277.84
-28.65	2267.08
-28.4811	2248.04
-28.3123	2246.7
-28.1435	2250.26
-27.9746	2248.9
-27.8058	2224.78
-27.637	2211.24
-27.4681	2202.98
-27.2993	2199.3
-27.1305	2190.84
-26.9616	2187.42
-26.7928	2165.5
-26.624	2154.58
-26.4552	2147.86
-26.2863	2149.56
-26.1175	2140.18
-25.9487	2132.98
-25.7798	2127.82
-25.611	2117.74
-25.4422	2106.3
-25.2733	2102.32
-25.1045	2094.2
-24.9357	2077.34
-24.7668	2072.68
-24.598	2077.68
-24.4292	2083.48
-24.2604	2062.4
-24.0915	2047.42
-23.9227	2034.84
-23.7539	2034.36
-23.585	2027.24
-23.4162	2015.06
-23.2474	2021.42
-23.0785	2010.34
-22.9097	2016.52
-22.7409	2014.68
-22.572	2003.62
-22.4032	1991.72
-22.2344	1984.36
-22.0655	1975.52
-21.8967	1969.78
-21.7279	1963.76
-21.5591	1953.32
-21.3902	1957.12
-21.2214	1944.94
-21.0526	1943.38
-20.8837	1942.76
-20.7149	1942.34
-20.5461	1941.26
-20.3772	1923.1
-20.2084	1930.84
-20.0396	1938.78
-19.8707	1935.18
-19.7019	1928.04
-19.5331	1915.3
-19.3642	1906.9
-19.1954	1897.12
-19.0266	1907.44
-18.8578	1905.74
-18.6889	1901.42
-18.5201	1896.7
-18.3513	1893.24
-18.1824	1892.62
-18.0136	1883.24
-17.8448	1879.76
-17.6759	1879.76
-17.5071	1874.64
-17.3383	1871.76
-17.1694	1879.06
