# gates_P4_set	keithley2_amplitude
# "P4"	"keithley2"
# 800
-9.14369	0.555489
-9.12369	0.547609
-9.10369	0.554428
-9.08369	0.55569
-9.06369	0.5563
-9.04369	0.556985
-9.02369	0.556667
-9.00369	0.560379
-8.98369	0.554422
-8.96369	0.562882
-8.94369	0.55605
-8.92369	0.560851
-8.90369	0.558329
-8.88369	0.559009
-8.86369	0.560407
-8.84369	0.555717
-8.82369	0.559035
-8.80369	0.55763
-8.78369	0.546694
-8.76369	0.55638
-8.74369	0.559468
-8.72369	0.557213
-8.70369	0.561022
-8.68369	0.559757
-8.66369	0.55926
-8.64369	0.561587
-8.62369	0.564448
-8.60369	0.56497
-8.58369	0.558382
-8.56369	0.558034
-8.54369	0.561528
-8.52369	0.55538
-8.50369	0.559823
-8.48369	0.565125
-8.46369	0.555996
-8.44369	0.558713
-8.42369	0.559558
-8.40369	0.561303
-8.38369	0.561896
-8.36369	0.564737
-8.34369	0.561621
-8.32369	0.563659
-8.30369	0.562696
-8.28369	0.562548
-8.26369	0.568411
-8.24369	0.564839
-8.22369	0.56568
-8.20369	0.564316
-8.18369	0.565272
-8.16369	0.563812
-8.14369	0.562371
-8.12369	0.570427
-8.10369	0.567876
-8.08369	0.566932
-8.06369	0.568067
-8.04369	0.563602
-8.02369	0.56292
-8.00369	0.567082
-7.98369	0.568916
-7.96369	0.573384
-7.94369	0.564176
-7.92369	0.567224
-7.90369	0.568318
-7.88369	0.567162
-7.86369	0.566434
-7.84369	0.56995
-7.82369	0.571973
-7.80369	0.566433
-7.78369	0.56579
-7.76369	0.566369
-7.74369	0.566659
-7.72369	0.57261
-7.70369	0.568288
-7.68369	0.569359
-7.66369	0.565929
-7.64369	0.570982
-7.62369	0.568076
-7.60369	0.57221
-7.58369	0.570227
-7.56369	0.569279
-7.54369	0.567954
-7.52369	0.571817
-7.50369	0.566764
-7.48369	0.57208
-7.46369	0.573257
-7.44369	0.569837
-7.42369	0.570067
-7.40369	0.56756
-7.38369	0.567653
-7.36369	0.572562
-7.34369	0.56859
-7.32369	0.577645
-7.30369	0.576567
-7.28369	0.569373
-7.26369	0.569249
-7.24369	0.569779
-7.22369	0.568798
-7.20369	0.57147
-7.18369	0.573304
-7.16369	0.570998
-7.14369	0.573764
-7.12369	0.574767
-7.10369	0.578205
-7.08369	0.575264
-7.06369	0.577939
-7.04369	0.576643
-7.02369	0.575348
-7.00369	0.575566
-6.98369	0.577609
-6.96369	0.576744
-6.94369	0.573232
-6.92369	0.573643
-6.90369	0.581001
-6.88369	0.555112
-6.86369	0.576802
-6.84369	0.578901
-6.82369	0.581445
-6.80369	0.5814
-6.78369	0.574996
-6.76369	0.577961
-6.74369	0.580643
-6.72369	0.578846
-6.70369	0.578582
-6.68369	0.581616
-6.66369	0.579687
-6.64369	0.576219
-6.62369	0.579259
-6.60369	0.580573
-6.58369	0.585231
-6.56369	0.578306
-6.54369	0.581906
-6.52369	0.586691
-6.50369	0.578279
-6.48369	0.584335
-6.46369	0.582795
-6.44369	0.585689
-6.42369	0.587589
-6.40369	0.58322
-6.38369	0.576652
-6.36369	0.585784
-6.34369	0.586717
-6.32369	0.585045
-6.30369	0.584324
-6.28369	0.585961
-6.26369	0.589081
-6.24369	0.582343
-6.22369	0.581957
-6.20369	0.588217
-6.18369	0.587338
-6.16369	0.586233
-6.14369	0.592876
-6.12369	0.590478
-6.10369	0.583572
-6.08369	0.586554
-6.06369	0.591061
-6.04369	0.588963
-6.02369	0.589279
-6.00369	0.592213
-5.98369	0.588871
-5.96369	0.581845
-5.94369	0.589615
-5.92369	0.588684
-5.90369	0.590142
-5.88369	0.592492
-5.86369	0.586317
-5.84369	0.590678
-5.82369	0.590153
-5.80369	0.588067
-5.78369	0.586764
-5.76369	0.593662
-5.74369	0.591436
-5.72369	0.585479
-5.70369	0.591073
-5.68369	0.588259
-5.66369	0.587104
-5.64369	0.583171
-5.62369	0.571151
-5.60369	0.591397
-5.58369	0.587647
-5.56369	0.590028
-5.54369	0.584822
-5.52369	0.568974
-5.50369	0.58573
-5.48369	0.586575
-5.46369	0.587929
-5.44369	0.58284
-5.42369	0.579701
-5.40369	0.580438
-5.38369	0.581996
-5.36369	0.576475
-5.34369	0.574855
-5.32369	0.572307
-5.30369	0.567949
-5.28369	0.572593
-5.26369	0.574138
-5.24369	0.574858
-5.22369	0.574161
-5.20369	0.566587
-5.18369	0.565156
-5.16369	0.566626
-5.14369	0.567631
-5.12369	0.567083
-5.10369	0.556631
-5.08369	0.555391
-5.06369	0.560756
-5.04369	0.550491
-5.02369	0.553793
-5.00369	0.558459
-4.98369	0.540874
-4.96369	0.546061
-4.94369	0.544248
-4.92369	0.541573
-4.90369	0.538042
-4.88369	0.529536
-4.86369	0.533777
-4.84369	0.527255
-4.82369	0.522467
-4.80369	0.517917
-4.78369	0.51392
-4.76369	0.511152
-4.74369	0.515591
-4.72369	0.514582
-4.70369	0.514078
-4.68369	0.512137
-4.66369	0.502834
-4.64369	0.499962
-4.62369	0.501458
-4.60369	0.495883
-4.58369	0.499325
-4.56369	0.496253
-4.54369	0.497478
-4.52369	0.497113
-4.50369	0.492244
-4.48369	0.488413
-4.46369	0.489801
-4.44369	0.488327
-4.42369	0.484892
-4.40369	0.487178
-4.38369	0.484523
-4.36369	0.485741
-4.34369	0.484746
-4.32369	0.48288
-4.30369	0.484942
-4.28369	0.484367
-4.26369	0.485219
-4.24369	0.476302
-4.22369	0.48135
-4.20369	0.479361
-4.18369	0.48347
-4.16369	0.481649
-4.14369	0.482501
-4.12369	0.481527
-4.10369	0.483586
-4.08369	0.482779
-4.06369	0.480775
-4.04369	0.478622
-4.02369	0.477166
-4.00369	0.478898
-3.98369	0.481011
-3.96369	0.482184
-3.94369	0.478062
-3.92369	0.480317
-3.90369	0.477712
-3.88369	0.476026
-3.86369	0.481312
-3.84369	0.47917
-3.82369	0.482104
-3.80369	0.478465
-3.78369	0.482372
-3.76369	0.479384
-3.74369	0.478902
-3.72369	0.482019
-3.70369	0.481522
-3.68369	0.481308
-3.66369	0.479761
-3.64369	0.481762
-3.62369	0.484005
-3.60369	0.487646
-3.58369	0.483469
-3.56369	0.482122
-3.54369	0.484626
-3.52369	0.479334
-3.50369	0.482161
-3.48369	0.481394
-3.46369	0.480432
-3.44369	0.4797
-3.42369	0.483407
-3.40369	0.484503
-3.38369	0.480373
-3.36369	0.486651
-3.34369	0.482519
-3.32369	0.483039
-3.30369	0.48479
-3.28369	0.479787
-3.26369	0.48371
-3.24369	0.485513
-3.22369	0.489959
-3.20369	0.48611
-3.18369	0.486591
-3.16369	0.482688
-3.14369	0.483815
-3.12369	0.484908
-3.10369	0.48221
-3.08369	0.485408
-3.06369	0.483324
-3.04369	0.486085
-3.02369	0.484909
-3.00369	0.487083
-2.98369	0.488825
-2.96369	0.490637
-2.94369	0.491089
-2.92369	0.488133
-2.90369	0.485896
-2.88369	0.49124
-2.86369	0.486993
-2.84369	0.488081
-2.82369	0.472986
-2.80369	0.493175
-2.78369	0.48992
-2.76369	0.489999
-2.74369	0.493564
-2.72369	0.4899
-2.70369	0.491349
-2.68369	0.489812
-2.66369	0.489654
-2.64369	0.491165
-2.62369	0.492949
-2.60369	0.496518
-2.58369	0.494952
-2.56369	0.491023
-2.54369	0.493005
-2.52369	0.494467
-2.50369	0.493689
-2.48369	0.494131
-2.46369	0.495797
-2.44369	0.497258
-2.42369	0.498029
-2.40369	0.496182
-2.38369	0.494574
-2.36369	0.497269
-2.34369	0.495485
-2.32369	0.502744
-2.30369	0.496767
-2.28369	0.496389
-2.26369	0.498595
-2.24369	0.496058
-2.22369	0.49934
-2.20369	0.492356
-2.18369	0.49678
-2.16369	0.499442
-2.14369	0.502217
-2.12369	0.496098
