# mwsource_frequency	sweepparam	measured
# "mwsource_frequency"	"sweepparam"	"measured"
# 100	928
4e+10	-2.57543	730674
4e+10	-2.56466	724755
4e+10	-2.55388	723775
4e+10	-2.5431	733905
4e+10	-2.53233	733590
4e+10	-2.52155	733335
4e+10	-2.51078	726446
4e+10	-2.5	727792
4e+10	-2.48922	722193
4e+10	-2.47845	725116
4e+10	-2.46767	740131
4e+10	-2.4569	733794
4e+10	-2.44612	727533
4e+10	-2.43534	721917
4e+10	-2.42457	721473
4e+10	-2.41379	723617
4e+10	-2.40302	729786
4e+10	-2.39224	724084
4e+10	-2.38147	726144
4e+10	-2.37069	726184
4e+10	-2.35991	734663
4e+10	-2.34914	731799
4e+10	-2.33836	713042
4e+10	-2.32759	721651
4e+10	-2.31681	724099
4e+10	-2.30603	714740
4e+10	-2.29526	716905
4e+10	-2.28448	714381
4e+10	-2.27371	722136
4e+10	-2.26293	717162
4e+10	-2.25216	718217
4e+10	-2.24138	724658
4e+10	-2.2306	721927
4e+10	-2.21983	718665
4e+10	-2.20905	724361
4e+10	-2.19828	723228
4e+10	-2.1875	719816
4e+10	-2.17672	716718
4e+10	-2.16595	715712
4e+10	-2.15517	710731
4e+10	-2.1444	707788
4e+10	-2.13362	710642
4e+10	-2.12284	714768
4e+10	-2.11207	717896
4e+10	-2.10129	718072
4e+10	-2.09052	715810
4e+10	-2.07974	705590
4e+10	-2.06897	710687
4e+10	-2.05819	721971
4e+10	-2.04741	721423
4e+10	-2.03664	714342
4e+10	-2.02586	710500
4e+10	-2.01509	704811
4e+10	-2.00431	695330
4e+10	-1.99353	696394
4e+10	-1.98276	697543
4e+10	-1.97198	688721
4e+10	-1.96121	689845
4e+10	-1.95043	700821
4e+10	-1.93966	700496
4e+10	-1.92888	693454
4e+10	-1.9181	696464
4e+10	-1.90733	702993
4e+10	-1.89655	697515
4e+10	-1.88578	696331
4e+10	-1.875	691857
4e+10	-1.86422	686968
4e+10	-1.85345	682516
4e+10	-1.84267	684366
4e+10	-1.8319	693143
4e+10	-1.82112	690490
4e+10	-1.81034	690734
4e+10	-1.79957	689745
4e+10	-1.78879	687488
4e+10	-1.77802	683010
4e+10	-1.76724	684873
4e+10	-1.75647	683303
4e+10	-1.74569	678353
4e+10	-1.73491	681303
4e+10	-1.72414	677157
4e+10	-1.71336	671307
4e+10	-1.70259	677424
4e+10	-1.69181	678511
4e+10	-1.68103	678818
4e+10	-1.67026	669979
4e+10	-1.65948	667743
4e+10	-1.64871	665888
4e+10	-1.63793	662089
4e+10	-1.62716	665736
4e+10	-1.61638	668249
4e+10	-1.6056	674009
4e+10	-1.59483	673732
4e+10	-1.58405	661788
4e+10	-1.57328	663565
4e+10	-1.5625	658552
4e+10	-1.55172	657776
4e+10	-1.54095	657988
4e+10	-1.53017	662088
4e+10	-1.5194	663904
4e+10	-1.50862	656210
4e+10	-1.49784	658417
4e+10	-1.48707	655367
4e+10	-1.47629	646680
4e+10	-1.46552	649422
4e+10	-1.45474	652134
4e+10	-1.44397	646456
4e+10	-1.43319	642414
4e+10	-1.42241	649398
4e+10	-1.41164	640901
4e+10	-1.40086	647773
4e+10	-1.39009	644810
4e+10	-1.37931	643234
4e+10	-1.36853	635824
4e+10	-1.35776	632667
4e+10	-1.34698	633831
4e+10	-1.33621	635602
4e+10	-1.32543	635376
4e+10	-1.31466	625474
4e+10	-1.30388	625696
4e+10	-1.2931	623593
4e+10	-1.28233	618013
4e+10	-1.27155	623742
4e+10	-1.26078	625028
4e+10	-1.25	627778
4e+10	-1.23922	625793
4e+10	-1.22845	617796
4e+10	-1.21767	619225
4e+10	-1.2069	622580
4e+10	-1.19612	620618
4e+10	-1.18534	619000
4e+10	-1.17457	618688
4e+10	-1.16379	622142
4e+10	-1.15302	607878
4e+10	-1.14224	610232
4e+10	-1.13147	620500
4e+10	-1.12069	614018
4e+10	-1.10991	611235
4e+10	-1.09914	612978
4e+10	-1.08836	609457
4e+10	-1.07759	601172
4e+10	-1.06681	601098
4e+10	-1.05603	596847
4e+10	-1.04526	592778
4e+10	-1.03448	590345
4e+10	-1.02371	589054
4e+10	-1.01293	585209
4e+10	-1.00216	582482
4e+10	-0.991379	584912
4e+10	-0.980603	584512
4e+10	-0.969828	582140
4e+10	-0.959052	571041
4e+10	-0.948276	572059
4e+10	-0.9375	581137
4e+10	-0.926724	581744
4e+10	-0.915948	578740
4e+10	-0.905172	571379
4e+10	-0.894397	568132
4e+10	-0.883621	565447
4e+10	-0.872845	561013
4e+10	-0.862069	562422
4e+10	-0.851293	566733
4e+10	-0.840517	557881
4e+10	-0.829741	556676
4e+10	-0.818966	555683
4e+10	-0.80819	547778
4e+10	-0.797414	554511
4e+10	-0.786638	551310
4e+10	-0.775862	551279
4e+10	-0.765086	547691
4e+10	-0.75431	541023
4e+10	-0.743534	538134
4e+10	-0.732759	540651
4e+10	-0.721983	532239
4e+10	-0.711207	537226
4e+10	-0.700431	527022
4e+10	-0.689655	514521
4e+10	-0.678879	526894
4e+10	-0.668103	532018
4e+10	-0.657328	518834
4e+10	-0.646552	521528
4e+10	-0.635776	517859
4e+10	-0.625	522165
4e+10	-0.614224	521999
4e+10	-0.603448	520897
4e+10	-0.592672	509268
4e+10	-0.581897	508538
4e+10	-0.571121	514567
4e+10	-0.560345	506014
4e+10	-0.549569	506014
4e+10	-0.538793	515925
4e+10	-0.528017	506475
4e+10	-0.517241	502719
4e+10	-0.506466	496587
4e+10	-0.49569	497795
4e+10	-0.484914	497393
4e+10	-0.474138	495965
4e+10	-0.463362	489229
4e+10	-0.452586	489886
4e+10	-0.44181	482269
4e+10	-0.431034	482192
4e+10	-0.420259	476613
4e+10	-0.409483	475743
4e+10	-0.398707	469869
4e+10	-0.387931	466842
4e+10	-0.377155	475734
4e+10	-0.366379	468661
4e+10	-0.355603	463488
4e+10	-0.344828	462098
4e+10	-0.334052	462524
4e+10	-0.323276	462412
4e+10	-0.3125	462317
4e+10	-0.301724	463839
4e+10	-0.290948	460004
4e+10	-0.280172	454066
4e+10	-0.269397	452570
4e+10	-0.258621	450282
4e+10	-0.247845	444082
4e+10	-0.237069	438768
4e+10	-0.226293	440691
4e+10	-0.215517	436601
4e+10	-0.204741	430312
4e+10	-0.193966	435705
4e+10	-0.18319	439644
4e+10	-0.172414	429583
4e+10	-0.161638	432827
4e+10	-0.150862	430107
4e+10	-0.140086	422947
4e+10	-0.12931	426618
4e+10	-0.118534	418313
4e+10	-0.107759	407214
4e+10	-0.0969828	409816
4e+10	-0.0862069	419689
4e+10	-0.075431	415982
4e+10	-0.0646552	409939
4e+10	-0.0538793	409286
4e+10	-0.0431034	402393
4e+10	-0.0323276	402740
4e+10	-0.0215517	404675
4e+10	-0.0107759	400163
4e+10	0	389951
4e+10	0.0107759	387587
4e+10	0.0215517	387716
4e+10	0.0323276	390671
4e+10	0.0431034	384760
4e+10	0.0538793	380458
4e+10	0.0646552	382771
4e+10	0.075431	391054
4e+10	0.0862069	382543
4e+10	0.0969828	372819
4e+10	0.107759	369662
4e+10	0.118534	372253
4e+10	0.12931	367470
4e+10	0.140086	373731
4e+10	0.150862	360006
4e+10	0.161638	357826
4e+10	0.172414	359045
4e+10	0.18319	355729
4e+10	0.193966	352712
4e+10	0.204741	354266
4e+10	0.215517	349827
4e+10	0.226293	349268
4e+10	0.237069	343313
4e+10	0.247845	336717
4e+10	0.258621	335240
4e+10	0.269397	332736
4e+10	0.280172	335145
4e+10	0.290948	326774
4e+10	0.301724	328605
4e+10	0.3125	323555
4e+10	0.323276	315646
4e+10	0.334052	317132
4e+10	0.344828	324768
4e+10	0.355603	319017
4e+10	0.366379	322758
4e+10	0.377155	316503
4e+10	0.387931	313390
4e+10	0.398707	306320
4e+10	0.409483	307165
4e+10	0.420259	305707
4e+10	0.431034	300196
4e+10	0.44181	293077
4e+10	0.452586	293418
4e+10	0.463362	289997
4e+10	0.474138	284724
4e+10	0.484914	285225
4e+10	0.49569	284119
4e+10	0.506466	281315
4e+10	0.517241	268242
4e+10	0.528017	267589
4e+10	0.538793	266093
4e+10	0.549569	265436
4e+10	0.560345	263789
4e+10	0.571121	262475
4e+10	0.581897	260949
4e+10	0.592672	264283
4e+10	0.603448	254324
4e+10	0.614224	247232
4e+10	0.625	252607
4e+10	0.635776	255956
4e+10	0.646552	250495
4e+10	0.657328	247778
4e+10	0.668103	246726
4e+10	0.678879	242093
4e+10	0.689655	245438
4e+10	0.700431	251242
4e+10	0.711207	250134
4e+10	0.721983	232838
4e+10	0.732759	224734
4e+10	0.743534	226595
4e+10	0.75431	229453
4e+10	0.765086	226810
4e+10	0.775862	230562
4e+10	0.786638	222929
4e+10	0.797414	213079
4e+10	0.80819	217159
4e+10	0.818966	214747
4e+10	0.829741	213516
4e+10	0.840517	212379
4e+10	0.851293	215209
4e+10	0.862069	213357
4e+10	0.872845	210944
4e+10	0.883621	214757
4e+10	0.894397	202823
4e+10	0.905172	185362
4e+10	0.915948	186530
4e+10	0.926724	192094
4e+10	0.9375	195764
4e+10	0.948276	194136
4e+10	0.959052	187722
4e+10	0.969828	187979
4e+10	0.980603	180654
4e+10	0.991379	176253
4e+10	1.00216	185428
4e+10	1.01293	180014
4e+10	1.02371	175619
4e+10	1.03448	173988
4e+10	1.04526	174529
4e+10	1.05603	165940
4e+10	1.06681	164560
4e+10	1.07759	163491
4e+10	1.08836	161054
4e+10	1.09914	156129
4e+10	1.10991	153716
4e+10	1.12069	156488
4e+10	1.13147	154568
4e+10	1.14224	149988
4e+10	1.15302	153560
4e+10	1.16379	154259
4e+10	1.17457	143686
4e+10	1.18534	140881
4e+10	1.19612	133173
4e+10	1.2069	139219
4e+10	1.21767	140422
4e+10	1.22845	132631
4e+10	1.23922	128146
4e+10	1.25	127959
4e+10	1.26078	117314
4e+10	1.27155	112490
4e+10	1.28233	115217
4e+10	1.2931	113366
4e+10	1.30388	114674
4e+10	1.31466	116291
4e+10	1.32543	113652
4e+10	1.33621	120981
4e+10	1.34698	116671
4e+10	1.35776	112200
4e+10	1.36853	112061
4e+10	1.37931	112262
4e+10	1.39009	120207
4e+10	1.40086	113845
4e+10	1.41164	108316
4e+10	1.42241	99830
4e+10	1.43319	93489
4e+10	1.44397	94279
4e+10	1.45474	92294
4e+10	1.46552	90653
4e+10	1.47629	93213
4e+10	1.48707	90045
4e+10	1.49784	87762
4e+10	1.50862	97725
4e+10	1.5194	93069
4e+10	1.53017	82121
4e+10	1.54095	80237
4e+10	1.55172	86360
4e+10	1.5625	77926
4e+10	1.57328	75290
4e+10	1.58405	77277
4e+10	1.59483	77256
4e+10	1.6056	69177
4e+10	1.61638	82263
4e+10	1.62716	85717
4e+10	1.63793	77068
